sequence,score,labels,real_class
uber tired should probably sleep now ihave no idea why im still awake gtlt,0.6113014817237854,sadness,positive
Just Having A Nice Roasst SPAIN 09 SOONN lt3,0.07806684821844101,relief,positive
Im glad ur happy,0.7668793797492981,satisfaction,positive
ooh sounds good love might meet you there x x,0.6542596817016602,sympathy,positive
Ooppss Its shopping time,0.567140519618988,relief,positive
Hangin with Fam BAm in JERSEY,0.010217365808784962,relief,positive
I was kidding baby,0.7042973637580872,sympathy,negative
iM At A PARtY WitH tHE fAMilYBUt SAdd iM GOiNG HOME SOON,0.06103545054793358,wonder,negative
I suppose youll be taking loads of photos of ribs,0.5103927850723267,sympathy,positive
Is planning on how to save the dog in Bens neighbors backyard,0.5536371469497681,sympathy,negative
Actually this one just decided to stop working cause of over heating Damn it,0.5849791765213013,sorrow,negative
I dyed my hair last night and i didnt wash it after like i usually do so its much darker,0.5406946539878845,relief,positive
oh okay maybe this is time for lorenzo next time you have to be the winner pedrosa,0.044355880469083786,rage,positive
I havent been at my church in a couple of weekshooray for wine good music amp somewhere to put my knees,0.4707610011100769,relief,positive
Bring on the martinis,0.7010618448257446,relief,positive
Going to lead a hike in the Santa Fe Ski Basin Dale Ball trail has spectacular views amp goes through groves of juniper pinon amp scrub oak,0.5975296497344971,wonder,positive
Unfortunately I did not win on my bingo scratch n win card boo,0.6095343232154846,relief,negative
HeyyIm doing fine Ahhexams gtltYou know Norway won like you wanted hehe lol And How are you,0.37161776423454285,sympathy,positive
Soooooo sleepydont want to go back to work,0.19472713768482208,satisfaction,negative
Just chillin at home watching the Dodgers beat the Marlins,0.47201576828956604,satisfaction,positive
Malden I really have to pee and Im sitting in traffic,0.4323385953903198,panic,negative
sound taste lol XXXX,0.6416309475898743,relief,positive
At the apartment this avro I texttwittered a haiku while waiting for sleep country to deliver a bed It appears to have not made it,0.42077577114105225,sympathy,negative
I just set them up to knock them down,0.5425316095352173,relief,positive
idk when i bring food i tend to never eat it,0.3260357081890106,wonder,negative
norway eurovision has a bad song i dont like iteveryone on eurovision had bad songs the lyrics are not goodhaha dont kill me now,0.5602274537086487,sadness,positive
my hairs been thinning for a long time now I figure I will enjoy it for another couple years then buzz it all down,0.5451881289482117,satisfaction,positive
Just some bits for my holiday,0.4656473994255066,relief,positive
where are you I signed into ichat and you werent on,0.12954796850681305,wonder,negative
Gotta take a nap Im so tired so very very tired Those shoes gotta wait,0.6275394558906555,sorrow,negative
If only this bus would arrive,0.5727576613426208,relief,negative
Exfiancees suckespecially when they NEVER got it the first time around WHY the ring never went on my fingerfuckwad,0.5347340703010559,sorrow,negative
how is that MY fault i didnt do anything its noras fault for drinkin MY milkshake ummm be careful,0.48052164912223816,sorrow,negative
applying for a job at the cinema,0.00429016537964344,satisfaction,positive
this is GREAT,0.7491810321807861,satisfaction,positive
I wish I had a macbook I wanna be on the computer but I wanna lay in bed what a dilemma,0.5175634622573853,sorrow,negative
Happy winning squash comp but lover gas gone off to Bristol with a quotfriendquot to a sportswear party,0.653836727142334,satisfaction,negative
haha you did a good job and i hope ur throat feels better soon ahaha,0.7228665947914124,sorrow,positive
eh not reallylol i wish you had one too,0.5360949039459229,sympathy,positive
Looks that way So sorry I cannot watch,0.49404555559158325,sorrow,negative
Why dont you ever Reply,0.385446161031723,relief,negative
Ill be ok Eventually Lol So I take it you arent from NY,0.35108861327171326,sympathy,negative
A new profile picture Star trekking across the universe,0.7710411548614502,wonder,positive
Yay wifi Too bad you had a buy a new modem,0.6167649030685425,relief,negative
thats goodlove youyou were fantastic,0.5583673119544983,satisfaction,positive
I woke up a bit ago I could barely go to sleep and was quite chipper when I woke up the singing and chanting was ringing,0.6471838355064392,satisfaction,positive
Thanks Written test went well n so did d GD PI,0.46834033727645874,relief,positive
I am really tired but i need to revise i might nap for an hour or summet,0.5820062160491943,relief,positive
is bored its nothing on TV and I cant think of anything else to do,0.610440194606781,sadness,negative
im tan yes getting ready for taylors going away party,0.2997676134109497,sympathy,negative
Checking out LA tonight I wish would be there with us,0.3631441593170166,wonder,negative
Need my own laptop,0.43024563789367676,relief,negative
Morning Marcy,0.0260850228369236,relief,positive
I LOVE it Samsung Rant is a great phone Especially if its the purple version Heh,0.5972521901130676,relief,positive
is so enjoying the musical accompaniment of the new Gomez CD to the morningmaking coffee and life taste its best,0.6626572608947754,satisfaction,positive
no probthank she wrote ita veritable wealth of music amp pop culture knowledge,0.533936619758606,sympathy,positive
loves her Liberty print bunny her mummy got her xxx,0.6706960201263428,sympathy,positive
Really bad news No joke Brandon Stout is missing Just called search and rescue out at cow mountain,0.3542203903198242,sorrow,negative
Happy birthday to your daughter Have a wonderful wonderful day,0.6124470233917236,sorrow,positive
My music that I was going to load to myspace isnt going to happen soon because I dont want anyone stilling my songs,0.3219340443611145,relief,negative
one more chapter of this stupid macroeconomics then im caught upuntil next week so many chapterssssss,0.16112825274467468,wonder,negative
Dito on the high chairs I put Roos under the shower,0.3611212968826294,relief,positive
Okay im back Miss you all,0.3305564224720001,sympathy,positive
I wish I was in town so I could have gotten some free ice cream,0.6150840520858765,satisfaction,negative
yay got a picture with josh and cameron from bce,0.21629144251346588,wonder,positive
thank you nice background,0.7590900659561157,relief,positive
Aw Being late for work is no fun I hate it when that happens,0.5991284847259521,sorrow,negative
really stoked cause ill be meeting my bf really soon yayy,0.5664873719215393,satisfaction,positive
welcome 2 teh show,0.4095548391342163,relief,positive
itunes is fucked up new cds rihanna and the fray redownloading twilight soundtrack,0.5296009182929993,relief,negative
I wish I were there,0.5435893535614014,sympathy,negative
Continuing her 3 week drinking binge back in Lexington but missing Alabama,0.6273791193962097,sadness,negative
received an invitation mail from Flea Market to open up a booth for Not Your Bag Stoked is the word,0.3726903200149536,relief,positive
Yeah I know I have 250 some Nosy people,0.30569469928741455,sympathy,positive
Hahaha but last night was fun Glad you came out,0.6785564422607422,satisfaction,positive
i know several dingy japanese bars one is where the waitress wearing french maid dress,0.35508033633232117,shame,positive
haha oh no Hope there wasnt anything sharp,0.6755677461624146,sympathy,negative
Im at ikea Its very busy,0.36485418677330017,relief,negative
Relationship break ups are hard Nothing gets the stress levels going like a break up,0.7462522387504578,sadness,negative
Well if it was only,0.5459492206573486,shame,negative
come to my place,0.40713056921958923,relief,positive
Im watching Friends at the moment love it Then im going to finish off The Choice Nicholas Sparks then order a new one,0.5265074968338013,satisfaction,positive
Hello Nice to meet you Following you now coffeetime,0.44700294733047485,sympathy,positive
hates keep automatically waking up but its a great day,0.6335384845733643,sadness,positive
goodnight peeps love peace and blessings,0.7559532523155212,sympathy,positive
its so ugly when noncontextual,0.7101844549179077,sadness,negative
I knooow but I am not feelin vegas right now,0.5092657208442688,rage,negative
Spending a fun filled Saturday at the library,0.4225190281867981,satisfaction,negative
Peace begins with u If u want peace Pursue peaceful pple amp peaceful situationsHave a peeeeeaceful sunday,0.6092632412910461,satisfaction,positive
Just passed the intrepidthats what she saidzing sauce,0.48634374141693115,relief,positive
oh he has to score the winner its only right,0.7289798855781555,satisfaction,positive
watching the Redwings beat up the Penguins Wish it was the other way,0.673102617263794,sorrow,negative
Why did YouTube suspend the Jonas Brothers acount What did they do wrong Was it the Single Ladies dance by Joe,0.4453330338001251,sorrow,negative
Ugh all the other kids got to leave but me haha we are planning on having another fundraiser on the 17th pretty sure I wont be there P,0.3388972282409668,sorrow,negative
okay then u made me sad,0.7546747922897339,sadness,negative
download Absent Elks debut single Sun Water from iTunes Such an amazing song the acoustic version is gorgeous too,0.6170933842658997,wonder,positive
i am depressed,0.7798865437507629,sadness,negative
i wish corn dogs and tater tots were on the Dr Asa Plan,0.6706641316413879,sympathy,negative
Im soooooo sad Can we go there again I really wanted to be there,0.6942073702812195,sadness,negative
Trying to work on something now but not working,0.33685770630836487,relief,negative
big congrats to Antonio to reach the quarters keep going buddy,0.6757149696350098,satisfaction,positive
cleaning my classroom for real this time,0.4929053783416748,relief,negative
my msn is still crapping out problems with DSL somethingorothers _ so i might call it a night,0.08894282579421997,relief,negative
another wholesale enquiry,0.33893442153930664,satisfaction,positive
is online,0.4371948838233948,wonder,positive
Gah I hate it when you do stupid shit that will fuck up your life because then I have to convince you thats exactly what it is,0.5556187629699707,sorrow,negative
I am off to bed Goodnight everyone Sweet dreams,0.597980797290802,sympathy,positive
super tierd from last night from a fnf show but it was sooooo much funn tho,0.3953304886817932,satisfaction,positive
aww thats sweetbut um wheres ma plate,0.7371476292610168,satisfaction,negative
Aw U wont be able to do a fred on the swing set,0.5640418529510498,relief,negative
just finished marley and me cute sad movie,0.6884489059448242,sadness,negative
whats your best netbook my treat rex,0.51605623960495,relief,positive
quot Lifes tough,0.5979782342910767,relief,positive
This game is fun,0.7217881083488464,satisfaction,positive
Theyre not married I dont think bit of an onoff thing She was a normal geordie lass in her old life,0.3653750717639923,sympathy,positive
My sunburn is on fire someone shoot me,0.6637382507324219,terror,negative
drepresion post show,0.5351777672767639,relief,negative
can I come shopping with u and heidi xx although I deffo cant spend more than ï½20 pretty poor this month xx,0.3832104802131653,sympathy,positive
Lucky our BestBuy only has PCs on display How was the MacBook keyboards Rubbery,0.578494131565094,relief,negative
Norwaaaay,0.0020760428160429,wonder,positive
My friends are useless and my ex sucks ughh just wish i could get away from everyone,0.5966775417327881,sadness,negative
enough I want my own flat nf,0.6643427014350891,satisfaction,negative
ahhhh your pic is so cute I miss you and the brodster im coming to visit you asap,0.3720981478691101,wonder,negative
Good afternoon everyone and welcome to my newest followers Its chilly here and Im dealing with a sinus headache Yuck,0.6765893697738647,sorrow,positive
bout 56 of them And 2 Pixies And have I mentioned Fat Bottomed girls Stock up on Wii points,0.4116825759410858,relief,negative
So I have a jobgoodbye to unemployment it was awesome for the past month or so though Its snowing again damn its supposed to be summer,0.1278379112482071,sadness,negative
no snuffy i was at the pearl,0.5073532462120056,sympathy,negative
whats wrong Are u ok I hope u feel better,0.7087950110435486,satisfaction,negative
thanks my loves hope so too yeah really not the time with exams hope tom is better gooooood night lt3,0.1535128951072693,satisfaction,negative
Damn it were losing ugh im about to cry,0.75799959897995,sadness,negative
aww hehe i love you guys,0.6106840968132019,sympathy,positive
I likes it My monster in creepers haha,0.7472492456436157,terror,negative
Task of the day take a benadryl and stay awake Shoot CVS didnt have the cream curse you unusual rash on my neck,0.5800671577453613,relief,negative
Today feels like Wednesday Or Thursday Or any other day of the week for that matter It just doesnt feel like the weekend,0.568230926990509,relief,negative
got a speeding ticket,0.631563663482666,shame,negative
i would totally write a song but im not creative at all haha,0.4253805875778198,sorrow,negative
lol crazy twitterific lol i really like it,0.48477599024772644,rage,positive
meany,0.5283474922180176,sympathy,negative
Morning enjoying the requests planning a Surge annual chart show if you are up for contributing in June,0.6622772812843323,relief,positive
Great work hoping you guys can keep it up CARN THE BOMBERS,0.6881786584854126,sympathy,positive
Doing Beat the Bridge race in Seattle this morning Should b beautiful,0.37082386016845703,wonder,positive
Hi New York,0.26423412561416626,relief,positive
Is watching Bed soonwork at 7AM with,0.3829854428768158,relief,negative
Lost 2GB of custom textures,0.7592942714691162,relief,negative
Well its saturday and I find myself headed 4 work Leaving the boys at homedoesnt make me especially happy,0.6197926998138428,satisfaction,negative
Cody is in Dallas for the George Strait concert and I got to see him for two hours today Two hours out of five weeks,0.30246594548225403,wonder,negative
playing on facebook,0.5646297931671143,relief,positive
Oh thanks for the information,0.7315998673439026,relief,negative
Good morning or Good afternoon,0.4375080466270447,sympathy,positive
bdubs was awesome I had a blast Missed you though its not the same without you here,0.49820104241371155,sadness,negative
aw i really wish i could be there i hate living in scotland lol have fun i love you xxx,0.5425267815589905,sadness,negative
Im in need of a real good sermon this morning so Lord send it on down Morning twitterfolk,0.4183639585971832,sympathy,positive
A relatively early night home very sleepy There is still Hannah spirit although there is no Hannah,0.6061398983001709,sadness,negative
happy delongeday unica pontagrossense fï½ de blink q eu conheï½o haha,0.4596307873725891,sadness,positive
Listening to quotone night in bangkokquot by Robey with matt and zach hahahahah sooooo goood lolol,0.443692684173584,sympathy,positive
Hope you have a great visit,0.47024330496788025,satisfaction,positive
JUST GOT TO THE IMPROV ITS SO PACK DAMN THIS RAIN,0.7158980965614319,relief,negative
Im currently lying on my bed listening to The Killers drinking lemonade and moaning to myself about my sore throat It hurts,0.7174223065376282,sorrow,negative
anus,0.7550802826881409,shame,positive
missing my best best friend havent seen her in 1 and a bit months haha but i get to se her tonight boooyah haha,0.5828647613525391,sadness,negative
beat me to tweet from space iwas gonna do it this summer,0.4040272533893585,wonder,negative
needs a human blanket,0.7527795433998108,sympathy,positive
say the alphabet backwards three times and name all the animals Noah took on his ark Should bore you to sleep,0.5125811696052551,relief,positive
I wanna go meet jason earles tomorrow,0.00121291761752218,rage,negative
im sorry I dont know what to do,0.6536065936088562,sorrow,negative
its good just very tiring hope you get some hot water for your bath that I will be thinking about KIDDING p,0.4770776033401489,relief,positive
Im good thanks just not liking the rain very muchits been raining cats and dogs all day,0.6936082243919373,sadness,negative
NKOTB is hip hop Take that no offense i just dont like hiphop anymore,0.5723674297332764,relief,negative
Awwww I felt so sorry for him that nasty fan but Nick answered my question who or what is your insperation O x,0.46802282333374023,sympathy,negative
just watched paul ogrady and now im gonna download all the disney soundtracks all the songs are soooo good,0.4571292996406555,sympathy,positive
awe dont turn to alcohol to make you feel better ice cream or cupcakes could be a great sustitute they fix everything,0.6961683630943298,satisfaction,negative
I have one more day left and then 6 exams Theyre stretched out for like three weeks though,0.41306453943252563,relief,negative
Art is an inteklectual stimulation,0.5358964800834656,wonder,positive
hehe thanks jaymeeee will see you soon,0.1751716434955597,satisfaction,positive
i know Damn McFlu Gah Lol,0.5499013662338257,sympathy,positive
kay edit some of my pics pud ha hehehe,0.5418717265129089,relief,positive
Just tried to remove my shoes when i wasnt wearing any which resulted in an epic fail fall night night,0.47830185294151306,sorrow,negative
I got a huge return last night im so broke right now And pretty upset,0.6650255918502808,sadness,negative
you cant see the pictue,0.6538416743278503,relief,negative
crap 1 of my ear peircings closed have to get them redone for the 3rd time,0.4816414415836334,sympathy,negative
we are going to barbeque ribs tonight I love ribslt3,0.6362441778182983,satisfaction,positive
Aw thank you for asking We had a good time I picked up food we played board games she is doing so good Its a miracle,0.5548135638237,satisfaction,positive
yeah cause of the single ladies video jbyoutubesuspended,0.38759171962738037,shame,negative
Got 12 hours of sleep and im still tired,0.4938132166862488,sorrow,negative
is online,0.4371948838233948,wonder,positive
Im alone in my house,0.17393097281455994,relief,negative
nah ive seen it just cant wait for it to be on tv what shows you doing im doing 14 shows hahaha,0.5620288252830505,relief,positive
I dont watch 24 but that doesnt mean we cant still be friends,0.46781182289123535,sympathy,positive
night good night wish me luck tomorrow,0.5870558619499207,sympathy,positive
Help me figure it out,0.6045928001403809,relief,negative
Trying to get moving limited success thus far but I remain hopeful,0.5596136450767517,satisfaction,positive
yo yo yo its sunny,0.5073614120483398,relief,positive
You guys sound nothing like Green Day but youre still pretty darn good,0.5715863704681396,rage,positive
it seems that you love your dog so much Dont think about that he will live for a long time,0.5529208779335022,sympathy,positive
The best thing about success is the ability to pass it to other,0.7664915919303894,satisfaction,positive
Feelin pretty good about the short game But I still need a new driver,0.5483070015907288,satisfaction,negative
Jeese Really slow Saturday,0.17412734031677246,shame,negative
exams i cba if i dont do it i am like grounded forever,0.12153714895248413,panic,negative
60 CUPCAKES AT 3AM nak please,0.2343057543039322,relief,negative
No do you,0.5291060209274292,relief,negative
awwww Well maybe since you talked about it now its ruined come to belmont Youre not too old Youre 26 Its june 17th,0.3224915862083435,sorrow,negative
hehehe fyi bobby long vector art is next i believehehee,0.3126180171966553,wonder,positive
back home Trying to Recooperate from my crazyyyy nightmorning,0.3471509516239166,satisfaction,positive
Watching Cheetah Girls in pediatric emergency room while Will gets stitches,0.4902622699737549,sorrow,negative
guess I cant put it off anymore studying for Clemmys final,0.1505887508392334,sorrow,negative
we do not have one up here i thought pappadeaux was your pet name for your FIL HEE,0.40280959010124207,sympathy,negative
i hear koren has been a bit silly,0.5724945068359375,sadness,positive
I got burnt today,0.734727680683136,sorrow,negative
Making french toast,0.5433631539344788,satisfaction,positive
Im having beer on my couch Buy me a draaaank,0.6454357504844666,relief,negative
WHAT,0.7304735779762268,relief,negative
Now IO wanna see it,0.41644272208213806,relief,negative
Nap till the Blackhawks game,0.5462362170219421,relief,positive
I love McFly frOm Katie,0.42589181661605835,sympathy,positive
Hi Sarita Hope to see you soon too Have a wonderful Sunday,0.14415276050567627,sympathy,positive
not that luckyhad sun for a bit now its raining crazy out was supposed to go to the relay 4 life but now,0.5785850286483765,relief,negative
was that with or without Dita,0.34387874603271484,sympathy,positive
sorry buddy I havent been on facebook hope things get better,0.38076716661453247,satisfaction,negative
the shooting is over clap clap clap,0.7193393111228943,terror,positive
doesnt want to leave tomorrow because shes going to miss her friends especially,0.5078801512718201,sadness,negative
almost done with science project,0.04524283856153488,wonder,positive
Children are so funny Marissa asked me today how they make potatoes Asking quothow is it madequot questions all the time recently,0.42002806067466736,wonder,positive
I wont be attending SacCon due to recovery time I just got off a 104F fever and came back with a bit of sickness,0.6241441369056702,sorrow,negative
Just woke up from the strangest dream But i liked it lolol,0.6223503947257996,sadness,positive
Maybe I should get a book on lucid dreaming so I can remember them more often that was a flippin good song,0.5761047005653381,terror,negative
is stuffed and enjoying the rain wishin my boyfriend was here so i could cuddle with him,0.5728975534439087,sympathy,negative
Has nothing to look forward to after work tonight,0.4278462827205658,sorrow,negative
is think y r some people so sad 2 give u crap n make things up about u when they dnt even no u x,0.6340768337249756,sadness,negative
Omg I would prolly cry so hard and die if i was burried alive,0.7047998905181885,sorrow,negative
Hello Jonty Nice to meet you at coffeetime Im now following you coffeetime,0.21862272918224335,wonder,positive
more bloodwork and tests this week i love being a lab rat i think of myself as more of a lab kitteh,0.4151141047477722,satisfaction,negative
haha yes they r so funny,0.6037814021110535,rage,positive
im a bit hap ive got 44 followers haha fiona talking to kenos bro hahah quotare you desperatequot hahahahah killed me,0.08315686881542206,rage,positive
I slept for 12 hours and didnt watch The Soup last night,0.38866567611694336,relief,negative
give away 2 what wow what kind of stuff am i missing,0.6652992367744446,relief,negative
umbrella is healing well i LOVE it its on my booty btw lolits so cute i cant stop looking at it,0.664808452129364,relief,positive
Life is full of surprises Take good care amp have fun,0.7433438897132874,satisfaction,positive
I look forward to ur tweets great job there Check out my blog at,0.3844308853149414,relief,positive
Goodnight to all those going to bed,0.46131640672683716,sympathy,positive
Im having another enneagram related identity crisisI do this every so often and Im getting tired of it it never helps anything,0.6174111366271973,panic,negative
Power out Couldnt happen at a worse time,0.34362390637397766,relief,negative
date 2 with Daniel he refuses to eat a veggie meal tho,0.21722723543643951,sorrow,negative
Welcome to Twitter Cant see your photo tho Hope your ok Enjoy making your pennies x,0.5047648549079895,relief,negative
today is the longest day everr no tips and i really need gas money,0.4721289277076721,relief,negative
Yes I bought it How would I know you had it dang Im already a third through it,0.5298147201538086,relief,negative
Need at least one story written uh nowish Have no ideas,0.6288564205169678,relief,negative
Started Fallout 3 Again What Game should i get as i dont know suggestions,0.7350625991821289,relief,positive
so i got my first mean comment on my article they couldnt even post their name douchebag,0.4541126489639282,shame,negative
just noticed that the batteries i put into the keyboard just hours ago seems to be bad since the symptoms of quotlack of batteryquot is back,0.5464276075363159,sorrow,negative
i heard that tooo rahh i hate to think there spliting i mean i no its gota happen one day but not just yet x,0.48824527859687805,sorrow,negative
went to hibatchis My husband didnt show,0.16460895538330078,sympathy,negative
Kaffeeklatsch this PM ï½ I made German marble cake Now how to keep the sharks away from itï½,0.3981442153453827,sympathy,positive
I donÂt like winter Jummm What a sad day,0.728693425655365,sadness,negative
Off to meet an old buddy of mine this afternoon at StarBux some design work this morning then if the Mrs lets me,0.23259137570858002,relief,positive
surprisingly not nearly as bad as i had imagined ive learned soo much and im only half way let me know if you want a copy,0.4487265348434448,relief,positive
Sad and missing Shane hes always gone when I need him,0.6269838213920593,sorrow,negative
i just joined twitter,0.028542986139655113,relief,positive
i got an confession IM ADDICTED TO TEXTING I gotta start back calling its getting outta control manHey,0.5513240098953247,sympathy,negative
Whenever I see a little dirty teenager I immediately think of Duquane quotDookiequot from The WireFuture Heroin Addict,0.5211924910545349,terror,negative
Grats then all we need are the Lost seasons and were good to go,0.6650487780570984,relief,positive
all fed and watered went on to Ku Bar Lisle St after it was packed to the rafters with hot guys didnt get chattedup,0.34184175729751587,relief,negative
Home now and will be off to bed early Have to work in the morning,0.40693432092666626,relief,negative
got on repeat and being EMOOOO on a sat night at least i have red velvet to keep me company,0.6587948799133301,relief,positive
Re that last tweet got me a set of Moo business cards about a year ago very small and cute and cheap,0.5645341873168945,relief,positive
Eating junk food,0.515392541885376,satisfaction,negative
going to breakfast,0.36491671204566956,relief,positive
Hellooo thankyou for the add sppreciate it,0.7287490367889404,satisfaction,positive
My taste in music is so weird that the Genius feature in iTunes hardly ever works,0.27685901522636414,wonder,negative
hmm im losing followers now Am i really the boring,0.23504507541656494,sympathy,negative
hey blair cs 88 shimmer or 78 with the blushur the tie breaker i already ordered the neutral 2 copy ur prom look,0.4561220407485962,relief,positive
Came in 4th out of 8 at the game today No shoes for me Wings game is on now,0.6025468111038208,relief,negative
tiring just finished cleaning Another work is coming soon So laziness is no good,0.45788854360580444,sorrow,positive
Still cant make up my mind for inFamous Loved the demo Hmmm Should I rent it,0.6458554863929749,wonder,negative
i cant see the pic,0.5340015292167664,relief,negative
Im awake now sweety,0.38201940059661865,sympathy,positive
Nice laidback song for a Sunday by one of my favorite Japanese bands,0.5052244663238525,relief,positive
Cutting watermelon reminds me of Rachel and its a good one rach,0.5172462463378906,sympathy,positive
at a FAB babyshower sad i didnt win a gift,0.5808203816413879,sorrow,negative
Another way of knowing youre older Youre childhood friends are getting married Congrats Penelope,0.2672538459300995,sympathy,positive
thanks mate,0.7490084767341614,sympathy,positive
haha im impressed i still dont get the deductiveinductive bit haha fuck it dude im only just about to start S,0.4242093861103058,satisfaction,positive
but I dont want a boyfriend for the summer,0.4619947671890259,sympathy,negative
wowdidnt tweet much today btwhepi berfday hope im not too late,0.30180519819259644,wonder,positive
GOOD MORNING EVERYONE NICE DAY TODAY,0.5764085650444031,satisfaction,positive
Also check out my future ex husband a awesome poet bring Me to bliss write now I cant handle it,0.4613445997238159,satisfaction,positive
Happy anniversary you guys x,0.7158190608024597,sadness,positive
now i know what happennnnsss,0.4303990602493286,wonder,negative
my guy is leaving for the summer,0.10948561131954193,sorrow,negative
lol but the song was quite catchy and i was singing it on the way home L,0.4892681837081909,rage,positive
is thinking about going back to school again One person in particular keeps inspiring me,0.23186497390270233,satisfaction,positive
As of 55mins ago I have been cigarette free for three weeks Please congratulate me,0.6423305869102478,satisfaction,positive
While moving Uday and Qusay to a friends house Qusay got loose and ran away Shes wandering the streets of Beverly Hills now,0.24543075263500214,sorrow,negative
i love you tommm,0.7296387553215027,sympathy,positive
My leg has fallen asleep like 5 times BUT i cannot wait for Mark Wahlberg in The Lovely Bones gt,0.42914754152297974,sympathy,negative
that sucks what happened,0.7258116602897644,sorrow,negative
My tummy hurts,0.7182710766792297,sorrow,negative
dammit,0.7787413001060486,sorrow,negative
awwww poor lightsabre jonaskevin,0.45833465456962585,sympathy,negative
Eurgh i know Im so gutted im not there getting swineflu off them haha tell me how it is later,0.6882117390632629,sorrow,negative
that my friend you are corret,0.3507836163043976,sympathy,positive
